section,descriçao,Tipo,valor,quartos,banheiros,metros_quadrados,vagas_carro,cidade,bairro,data de postagem
32,"Casa com 4 suites, piscina e varanda gourmet na Cidade Alpha",casa,1.550.155,4,5,235,,Eusébio,,25-08-2024  10:28
33,CASA NO JEREISSATI 2 RUA 91.,casa,70.000,,,,,Pacatuba, Senador Carlos Jereissati,25-08-2024  10:25
34,"Casa com 4 dormitórios à venda, 400 m² por R$ 3.600.000,00 - Condomínio Alphaville Fortale",casa,3.600.000,4,5,400,,Eusébio,,25-08-2024  10:16
35,"Casa com 4 dormitórios à venda, 360 m² por R$ 1.800.000,00 - Lago Jacarey - Fortaleza/CE",casa,1.800.000,4,4,360,,Fortaleza, Cambeba,25-08-2024  10:10
36,"Casa com 3 dormitórios à venda, 277 m² por R$ 1.300.000,00 - Sapiranga - Fortaleza/CE",casa,1.300.000,3,5,278,,Fortaleza, Sapiranga-Coité,25-08-2024  10:06
37,Casa plana super espaçosa com dependência completa,casa,550.056,3,3,175,,Fortaleza, Sapiranga,25-08-2024  10:03
38,CASA NO EUSÉBIO A VENDA OPORTUNIDADE AGENDE UMA VISITA!!!,casa,270.000,3,2,72,,Eusébio, Mangabeira,25-08-2024  10:00
39,"CASA A VENDA NO EUSÉBIO, BAIRRO COAÇU, AGENDE UMA VISITA!!!",casa,810.000,4,4,154,,Eusébio, Coité,25-08-2024  09:58
40,Duplex fino acabamento MARAPONGA,casa,685.000,4,5,145,,Fortaleza, Jardim Cearense,25-08-2024  09:53
41,"Vendo Duplex No Lagoa Seca, Juazeiro",casa,650.000,4,,,,Juazeiro do Norte, Lagoa Seca,25-08-2024  09:50
42,Vendo Mansão Mobiliada no Cidades Kariris!,casa,2.500.000,4,5,453,,Barbalha,,25-08-2024  09:49
43,Vendo Duplex no Juazeiro!,casa,525.000,4,4,130,,Barbalha,,25-08-2024  09:49
44,Vendo linda mansão no Juazeiro!!,casa,1.100.000,3,4,230,,Juazeiro do Norte, Aeroporto,25-08-2024  09:48
45,Casa pronta para morar em um dos melhores condomínios do Ceará,casa,5.300.000,5,5,460,,Eusébio, Centro,25-08-2024  09:46
46,CASA A VENDA NO BAIRRO COAÇU EUSÉBIO PRÓXIMO AO SHOPPING TERRAZO,casa,489.000,4,3,123,,Eusébio,,25-08-2024  09:41
47,Casa com 4 quartos no bairro Centro - Fortaleza/CE,casa,450.000,4,3,150,,Fortaleza, Centro,25-08-2024  09:39
